city_name,state,abbreviation,population,latitude,longitude
Houston,Texas,TX,2195914,29.7604267,-95.36980279999999
Temecula,California,CA,106780,33.4936391,-117.14836480000001
Ann Arbor,Michigan,MI,117025,42.2808256,-83.7430378
Beaumont,Texas,TX,117796,30.080174,-94.12655620000001
East Lansing,Michigan,MI,48554,42.7369792,-84.48386540000001
Santee,California,CA,56105,32.8383828,-116.97391670000002
Tamarac,Florida,FL,63155,26.2128609,-80.2497707
Bellevue,Nebraska,NE,53663,41.154362299999995,-95.9145568
Pembroke Pines,Florida,FL,162329,26.007765,-80.2962555
Springdale,Arkansas,AR,75229,36.18674420000001,-94.1288141
Oxnard,California,CA,203007,34.1975048,-119.17705159999998
Odessa,Texas,TX,110720,31.8456816,-102.3676431
Stillwater,Oklahoma,OK,47186,36.1156071,-97.0583681
Brockton,Massachusetts,MA,94089,42.083433500000005,-71.0183787
Bayonne,New Jersey,NJ,65028,40.6687141,-74.11430909999999
Paramount,California,CA,54980,33.8894598,-118.15979109999998
Moline,Illinois,IL,43116,41.5067003,-90.5151342
Meridian,Mississippi,MS,40921,32.3643098,-88.70365600000001
Cleveland,Tennessee,TN,42774,35.1595182,-84.8766115
Jersey City,New Jersey,NJ,257342,40.7281575,-74.0776417
St. Paul,Minnesota,MN,294873,44.953702899999996,-93.0899578
Deltona,Florida,FL,86290,28.9005446,-81.2636738
Freeport,New York,NY,43167,40.65760220000001,-73.58318349999999
Iowa City,Iowa,IA,71591,41.6611277,-91.5301683
Anaheim,California,CA,345012,33.8352932,-117.91450359999999
Apple Valley,Minnesota,MN,50201,44.7319094,-93.21772
Great Falls,Montana,MT,59351,47.4941836,-111.2833449
West Valley City,Utah,UT,133579,40.691613200000006,-112.00105009999999
Hampton,Virginia,VA,136699,37.0298687,-76.3452218
Georgetown,Texas,TX,54898,30.633261800000003,-97.67798420000001
Orem,Utah,UT,91648,40.2968979,-111.69464750000002
Monrovia,California,CA,37101,34.14426160000001,-118.0019482
